"","Fecha","Irradiacion","Temperatura_minima","Temperatura_maxima","Presion_de_vapor","Precipitacion","Dias_con_lluvia"
"1","2000-01",18.74664,21.2096774193548,30.7387096774194,33.3865973541717,64,12
"2","2000-02",17.0694,21.3241379310345,31.3103448275862,34.2777994022756,163.9,10
"3","2000-03",15.75324,21.8806451612903,31.2258064516129,35.1206309104676,104.2,14
"4","2000-04",15.86376,21.46,30.1033333333333,32.6013521771793,379.9,25
"5","2000-05",15.91956,20.8290322580645,29.6193548387097,31.9139362327902,923.6,29
"6","2000-06",15.27336,20.7133333333333,29,31.2177606586724,351.8,27
"7","2000-07",15.68916,20.2967741935484,29.1322580645161,30.6056076184513,333.6,24
"8","2000-08",16.50672,20.4387096774194,29.8903225806452,32.1007511610851,354.6,24
"9","2000-09",18.95292,20.54,30.3533333333333,32.3659541483706,200.6,22
"10","2000-10",18.37224,21.0032258064516,31.0354838709677,33.4675197099174,288.3,27
"11","2000-11",17.34228,21.0566666666667,30.7966666666667,32.5820273744134,371,24
"12","2000-12",17.73,20.5483870967742,30.3322580645161,32.2592160896377,145.8,22
"13","2001-01",18.74664,19.8032258064516,32.4387096774194,34.9883056278343,12.8,4
"14","2001-02",17.0694,21.325,32.2964285714286,35.8258355465234,38.5,7
"15","2001-03",15.75324,21.9709677419355,31.8838709677419,35.3239627018947,158.3,18
"16","2001-04",15.86376,21.1033333333333,30.8233333333333,33.605512113957,330.4,18
"17","2001-05",15.91956,21.1483870967742,30.2032258064516,32.6034052164222,765.1,25
"18","2001-06",15.27336,20.34,28.3133333333333,29.8258467561215,567.8,28
"19","2001-07",15.68916,20.5451612903226,29.3709677419355,31.3328836123651,515.6,26
"20","2001-08",16.50672,NA,NA,NA,368,22
"21","2001-09",18.95292,NA,NA,NA,393.3,22
"22","2001-10",18.37224,21.0870967741935,31.2483870967742,33.6717060179584,572.8,26
"23","2001-11",17.34228,21.3033333333333,31.7966666666667,34.6735557163046,372.9,21
"24","2001-12",17.73,21.7935483870968,30.641935483871,33.0814324585658,417.4,25
"25","2002-01",18.74664,20.2258064516129,31.7258064516129,33.5702569546563,9.8,7
"26","2002-02",17.0694,22.2321428571429,33.8428571428571,38.1989610122316,7.9,4
"27","2002-03",15.75324,22.2709677419355,32.5741935483871,35.7703550020408,365.4,14
"28","2002-04",15.86376,21.49,30.2833333333333,32.3196619346627,611.1,23
"29","2002-05",15.91956,21.3129032258065,29.6161290322581,31.1598355272957,897,29
"30","2002-06",15.27336,20.53,28.2666666666667,30.0132243567789,635.2,28
"31","2002-07",15.68916,20.6322580645161,29.3516129032258,30.3520721093051,614.3,27
"32","2002-08",16.50672,20.7129032258064,29.7612903225806,31.4103056019486,341.7,26
"33","2002-09",18.95292,20.7566666666667,31.08,32.5018212632164,477.5,22
"34","2002-10",18.37224,20.958064516129,30.6193548387097,33.1298418364128,606.3,23
"35","2002-11",17.34228,20.91,30.9233333333333,33.0503592381029,201.2,22
"36","2002-12",17.73,21.141935483871,31.5225806451613,34.086954985647,222.6,12
"37","2003-01",18.74664,21.9451612903226,33.2225806451613,38.1976270688556,0.4,1
"38","2003-02",17.0694,23.2464285714286,33.1857142857143,39.1119516512087,21.5,6
"39","2003-03",15.75324,22.3967741935484,32.4064516129032,36.5087375493632,146.5,19
"40","2003-04",15.86376,21.62,30.2,33.2352169793752,621.6,25
"41","2003-05",15.91956,21.1032258064516,29.7129032258065,31.531906759104,400.8,28
"42","2003-06",15.27336,20.5666666666667,29.3533333333333,31.227070805978,694,27
"43","2003-07",15.68916,20.641935483871,28.5645161290323,30.3786720157611,307.2,27
"44","2003-08",16.50672,20.7741935483871,29.8225806451613,31.7955209275395,417.3,24
"45","2003-09",18.95292,20.6066666666667,30.2533333333333,32.1888330581438,632.8,20
"46","2003-10",18.37224,21.4290322580645,30.7032258064516,33.4876190745751,399.2,25
"47","2003-11",17.34228,21.1033333333333,30.9133333333333,32.9993213112242,547.6,22
"48","2003-12",17.73,21.458064516129,31.0741935483871,33.4610329179492,214.4,17
"49","2004-01",18.74664,21.7096774193548,31.8161290322581,35.5649082961579,46.6,3
"50","2004-02",17.0694,22.0172413793103,33.4103448275862,38.0297253595375,324.3,10
"51","2004-03",15.75324,22.2129032258065,31.5677419354839,35.7814137553703,161.1,17
"52","2004-04",15.86376,21.6533333333333,30.8666666666667,33.9241570896698,424.8,23
"53","2004-05",15.91956,21.3774193548387,29.4387096774194,32.0246622770312,736.6,30
"54","2004-06",15.27336,20.56,28.74,31.0599417410374,655.8,26
"55","2004-07",15.68916,20.4096774193548,29.2322580645161,31.0186719514156,574.7,30
"56","2004-08",16.50672,20.741935483871,29.9354838709677,32.3284501629452,374.7,27
"57","2004-09",18.95292,20.7966666666667,30.3933333333333,32.5885653423803,428.1,22
"58","2004-10",18.37224,21.258064516129,31.0645161290323,33.0142943355133,383.6,23
"59","2004-11",17.34228,21.46,30.8666666666667,33.2853830712925,391,22
"60","2004-12",17.73,21.6516129032258,30.8612903225806,33.6759017168518,336.5,18
"61","2005-01",18.74664,21.6225806451613,31.7258064516129,33.7610754806718,95.9,11
"62","2005-02",17.0694,22.3214285714286,31.8,34.3080993176194,278.9,12
"63","2005-03",15.75324,22.558064516129,32.4774193548387,35.2601658898975,246.8,20
"64","2005-04",15.86376,21.8566666666667,30.1666666666667,32.6945556992342,594.1,28
"65","2005-05",15.91956,21.7193548387097,30.3612903225806,32.4953520637326,780.3,27
"66","2005-06",15.27336,21.1033333333333,29.6966666666667,31.1385250283071,588.8,29
"67","2005-07",15.68916,20.6903225806452,29.0741935483871,30.1061544070871,561.5,27
"68","2005-08",16.50672,20.8935483870968,29.7161290322581,32.2449242733722,394.5,26
"69","2005-09",18.95292,21.2133333333333,30.6266666666667,33.1350905389676,350.7,24
"70","2005-10",18.37224,21.2064516129032,31.3483870967742,33.9306840328379,531.3,26
"71","2005-11",17.34228,21.42,30.4733333333333,32.9610954615645,609.9,25
"72","2005-12",17.73,21.2806451612903,31.541935483871,34.7173417326432,139,11
"73","2006-01",18.74664,21.4225806451613,31.3516129032258,NA,141.5,17
"74","2006-02",17.0694,22.1321428571429,31.7464285714286,NA,34.4,8
"75","2006-03",15.75324,21.9709677419355,30.5387096774194,NA,395.9,26
"76","2006-04",15.86376,21.7733333333333,30.57,NA,486.6,27
"77","2006-05",15.91956,20.9935483870968,28.7290322580645,NA,754.4,24
"78","2006-06",15.27336,20.7333333333333,29.17,NA,472,27
"79","2006-07",15.68916,20.4967741935484,28.8548387096774,NA,347.3,30
"80","2006-08",16.50672,20.9290322580645,30.1838709677419,32.5666944544874,343.3,24
"81","2006-09",18.95292,21.0866666666667,31.02,33.9585972323925,293.4,19
"82","2006-10",18.37224,21.6903225806452,30.9548387096774,33.3271405617058,683.4,25
"83","2006-11",17.34228,21.37,30.4,33.0920386958136,599,23
"84","2006-12",17.73,21.9290322580645,31.3193548387097,34.61145758159,153.1,15
"85","2007-01",18.74664,22.2451612903226,33.3064516129032,37.3929038574564,14.6,6
"86","2007-02",17.0694,23.3178571428571,35.5714285714286,41.848214771089,10,4
"87","2007-03",15.75324,22.7064516129032,32.5451612903226,37.0819162219794,409.6,14
"88","2007-04",15.86376,22.0633333333333,31.3,34.4442167021039,382.8,25
"89","2007-05",15.91956,21.5225806451613,29.758064516129,32.4728503629133,753.6,28
"90","2007-06",15.27336,20.66,28.27,30.177027211022,581.7,27
"91","2007-07",15.68916,20.3838709677419,30.1,32.1883871784843,385.6,25
"92","2007-08",16.50672,20.4548387096774,29.5,31.3048873582997,484.1,25
"93","2007-09",18.95292,20.8566666666667,30.6033333333333,32.8633013534181,324.6,25
"94","2007-10",18.37224,21.0129032258065,30.6709677419355,32.6760837675452,482.9,24
"95","2007-11",17.34228,21.4166666666667,31.1966666666667,34.3503663826697,275.1,20
"96","2007-12",17.73,21.5935483870968,30.7451612903226,33.4197192936761,138,19
"97","2008-01",18.74664,21.4129032258065,31.6096774193548,35.3472123268686,34.3,7
"98","2008-02",17.0694,22.7724137931034,32.5172413793103,36.5836930509092,20.8,11
"99","2008-03",15.75324,22.9032258064516,33.6032258064516,38.7832876229082,25.2,7
"100","2008-04",15.86376,21.91,31.37,34.7532404569748,458.9,21
"101","2008-05",15.91956,21.3032258064516,29.9193548387097,32.1734227370603,688.1,29
"102","2008-06",15.27336,21.0033333333333,28.5733333333333,30.8503116233807,704.7,29
"103","2008-07",15.68916,20.6193548387097,29.1,30.8733819313391,572.4,29
"104","2008-08",16.50672,20.9806451612903,30.3258064516129,32.7306732821193,330.2,23
"105","2008-09",18.95292,20.6433333333333,30.7133333333333,33.4120117019494,485.4,26
"106","2008-10",18.37224,21.0193548387097,30.5903225806452,32.8395952973766,424.2,26
"107","2008-11",17.34228,21.42,30.8266666666667,33.5017907363926,443.3,24
"108","2008-12",17.73,21.1290322580645,30.6,33.1258001513828,236.2,15
"109","2009-01",18.74664,21.7322580645161,30.9741935483871,34.0247942568065,89.8,19
"110","2009-02",17.0694,21.9678571428571,31.5785714285714,35.6467712737093,64,11
"111","2009-03",15.75324,22.1709677419355,31.2967741935484,34.8357379249254,201.7,20
"112","2009-04",15.86376,21.7233333333333,30.59,33.2952511754274,449.7,24
"113","2009-05",15.91956,21.3161290322581,31.2161290322581,34.3662319397768,625.1,21
"114","2009-06",15.27336,20.8633333333333,29.54,32.146422296984,703.6,25
"115","2009-07",15.68916,20.4903225806452,29.4354838709677,31.1609598243321,484.6,27
"116","2009-08",16.50672,21.0677419354839,30.6870967741935,33.8413811604195,474.1,26
"117","2009-09",18.95292,21.4266666666667,31.8333333333333,35.2607132375212,326.9,18
"118","2009-10",18.37224,21.3709677419355,31.6064516129032,34.5352758464248,597.2,22
"119","2009-11",17.34228,22.22,31.8533333333333,35.6149305606223,260.9,15
"120","2009-12",17.73,21.9290322580645,32.8225806451613,37.0530127895631,50.6,9
"121","2010-01",18.74664,23.2677419354839,34.6645161290323,41.3466384006231,0.1,1
"122","2010-02",17.0694,24.15,35.0821428571429,42.134738260383,115.6,9
"123","2010-03",15.75324,22.8903225806452,32.2096774193548,36.9802350063886,426.3,20
"124","2010-04",15.86376,22.3666666666667,30.4866666666667,34.4476176830312,627,26
"125","2010-05",15.91956,22.241935483871,30.3161290322581,33.528273917417,580.5,28
"126","2010-06",15.27336,21.1633333333333,29.6266666666667,32.2856728359547,584.2,27
"127","2010-07",15.68916,21.0806451612903,29.2903225806452,31.5646150928649,630.2,30
"128","2010-08",16.50672,21.0225806451613,29.8451612903226,32.8262912423811,451.7,23
"129","2010-09",18.95292,21.19,31.03,34.6167576830067,332.3,18
"130","2010-10",18.37224,21.3096774193548,31.2774193548387,34.0879230966122,488.9,25
"131","2010-11",17.34228,21.1966666666667,30.6133333333333,33.2014332554275,399.6,23
"132","2010-12",17.73,21.0612903225806,30.7516129032258,33.7457709165499,392.7,18
"133","2011-01",18.74664,20.8032258064516,31.8129032258065,35.4731931882424,90.3,7
"134","2011-02",17.0694,22.5071428571429,32.0642857142857,36.1113339502896,144.5,10
"135","2011-03",15.75324,21.7193548387097,30.541935483871,33.8850441414214,175.2,22
"136","2011-04",15.86376,21.1866666666667,29.8533333333333,33.0817975964169,469.1,25
"137","2011-05",15.91956,21.2612903225806,29.0387096774194,32.2827700544166,632.7,30
"138","2011-06",15.27336,20.5833333333333,30.1066666666667,32.7035657556354,529.4,26
"139","2011-07",15.68916,20.0838709677419,29.9709677419355,32.4387429932008,367.4,27
"140","2011-08",16.50672,20.6,30.7516129032258,33.7700088370625,361.6,24
"141","2011-09",18.95292,20.1866666666667,30.8,33.5724957479295,592.7,22
"142","2011-10",18.37224,20.8032258064516,30.9161290322581,33.123371456135,337.9,22
"143","2011-11",17.34228,20.9033333333333,30.4133333333333,32.8207688452972,576.6,28
"144","2011-12",17.73,20.9838709677419,30.2225806451613,33.1859818068756,357.2,21
"145","2012-01",18.74664,21.0935483870968,31.3354838709677,35.0298566297762,36.6,12
"146","2012-02",17.0694,21.5034482758621,31.2206896551724,35.4556299407445,106.9,9
"147","2012-03",15.75324,21.2258064516129,29.9838709677419,33.2909108981266,536.8,26
"148","2012-04",15.86376,20.8933333333333,29.9333333333333,32.8876881246287,546.3,26
"149","2012-05",15.91956,20.6903225806452,30.0483870967742,32.8631496386593,575.8,25
"150","2012-06",15.27336,20.1866666666667,29.4566666666667,32.0251693233391,423.9,24
"151","2012-07",15.68916,19.9806451612903,29.058064516129,31.3383712790569,595.7,27
"152","2012-08",16.50672,20.2838709677419,29.4903225806452,31.7284476261048,371.6,29
"153","2012-09",18.95292,20.3266666666667,30.7733333333333,33.3778697713552,281.3,19
"154","2012-10",18.37224,20.6967741935484,31.1677419354839,34.4541058920065,586.1,20
"155","2012-11",17.34228,21.0733333333333,32.0066666666667,35.7787518355154,257.2,15
"156","2012-12",17.73,21.3709677419355,31.5838709677419,35.6753118221101,316.1,17
"157","2013-01",18.74664,22.0193548387097,32.6161290322581,37.8387502832195,0.3,1
"158","2013-02",17.0694,22.2357142857143,32.125,37.2062461591717,79.3,10
"159","2013-03",15.75324,21.8387096774194,31.1645161290323,35.4613903511519,224.9,21
"160","2013-04",15.86376,21.56,30.9966666666667,34.8905605443317,662.5,20
"161","2013-05",15.91956,20.9161290322581,29.8258064516129,33.005524120402,741.6,27
"162","2013-06",15.27336,20.3933333333333,30.11,32.9645826071641,418.8,27
"163","2013-07",15.68916,19.6903225806452,29.0741935483871,31.6523998141544,583.7,27
"164","2013-08",16.50672,20.0677419354839,29.6193548387097,32.1169364050337,264.5,27
"165","2013-09",18.95292,20.6033333333333,31.0933333333333,33.8005742145762,222,19
"166","2013-10",18.37224,20.5,31.2322580645161,34.3917176151925,332.6,19
"167","2013-11",17.34228,20.5733333333333,30.4666666666667,32.9931679086065,516.1,25
"168","2013-12",17.73,20.4612903225806,30.9967741935484,34.4248695220606,173.4,11
"169","2014-01",18.74664,21.0935483870968,32.7032258064516,37.1584682424884,26.5,6
"170","2014-02",17.0694,22.7392857142857,33.825,39.6662731300826,127.4,9
"171","2014-03",15.75324,21.7903225806452,31.7806451612903,36.579032228876,263.6,14
"172","2014-04",15.86376,20.39,31.1966666666667,34.3767714321653,672.9,28
"173","2014-05",15.91956,20.4677419354839,31.3290322580645,34.9094992035354,420.3,20
"174","2014-06",15.27336,19.8533333333333,29.4233333333333,31.8441511543728,670.9,27
"175","2014-07",15.68916,19.6354838709677,29.8193548387097,31.8371628887372,371,28
"176","2014-08",16.50672,19.3645161290323,29.9096774193548,32.5812361185195,265.2,22
"177","2014-09",18.95292,19.9633333333333,31.8766666666667,34.5030903745697,309.6,22
"178","2014-10",18.37224,20.1193548387097,30.658064516129,33.6131429506116,332.1,22
"179","2014-11",17.34228,20.4266666666667,31.1733333333333,33.8160730531039,497.4,21
"180","2014-12",17.73,20.2225806451613,31.8483870967742,35.135679057485,210.5,13
"181","2015-01",18.74664,21.0161290322581,31.7161290322581,35.1025178994385,196.6,15
"182","2015-02",17.0694,22.4928571428571,32.5785714285714,36.9615045546709,19.2,11
"183","2015-03",15.75324,22.8193548387097,32.0967741935484,36.6701853645272,225.4,19
"184","2015-04",15.86376,21.4566666666667,31.4366666666667,34.0155880103725,399.3,26
"185","2015-05",15.91956,21.7548387096774,30.6290322580645,33.8773422436147,385.9,27
"186","2015-06",15.27336,20.7333333333333,29.1866666666667,31.6519075597844,491.9,29
"187","2015-07",15.68916,21.0354838709677,29.8,32.5221361377073,457.8,27
"188","2015-08",16.50672,20.9032258064516,30.4290322580645,32.910012002787,277.8,26
"189","2015-09",18.95292,21.6866666666667,32.4533333333333,36.2359840297682,330.5,20
"190","2015-10",18.37224,21.5709677419355,32.0741935483871,35.6194641792742,399.4,22
"191","2015-11",17.34228,21.65,30.9933333333333,33.9089277008272,416.6,27
"192","2015-12",17.73,21.3709677419355,31.6645161290323,35.4534655830951,180.3,13
"193","2016-01",18.74664,22.3096774193548,33.3870967741936,38.3830603912852,2,4
"194","2016-02",17.0694,23.8034482758621,34.0034482758621,40.4366955510926,63.7,16
"195","2016-03",15.75324,23.7612903225806,32.8193548387097,39.3084915607601,231.6,17
"196","2016-04",15.86376,21.9666666666667,30.4466666666667,33.9621475882578,791.3,28
"197","2016-05",15.91956,21.5967741935484,30.2387096774194,33.4014698034666,532.8,25
"198","2016-06",15.27336,20.9433333333333,29.1433333333333,31.5881314164893,329.4,28
"199","2016-07",15.68916,20.6516129032258,28.7032258064516,30.966570039833,413.6,26
"200","2016-08",16.50672,21.0129032258065,30.1483870967742,33.12490486973,664.9,28
"201","2016-09",18.95292,21.1333333333333,30.96,33.798834831769,391.9,25
"202","2016-10",18.37224,21.4806451612903,31.0354838709677,34.1907564977422,416,25
"203","2016-11",17.34228,21.5966666666667,30.29,33.415134975218,576.3,23
"204","2016-12",17.73,20.7451612903226,30.6290322580645,33.4105717524113,500.7,17
"205","2017-01",18.74664,21.2354838709677,30.3225806451613,33.5735505075278,65.6,20
"206","2017-02",17.0694,21.9071428571429,32.2285714285714,36.4553327975443,94.5,12
"207","2017-03",15.75324,21.7161290322581,30.8774193548387,34.2980902921775,379.6,21
"208","2017-04",15.86376,21.9633333333333,30.99,34.8290127257625,273.3,20
"209","2017-05",15.91956,21.1225806451613,30.5451612903226,33.1293707555253,802.6,28
"210","2017-06",15.27336,21.14,29.8133333333333,32.2321661430446,538,27
"211","2017-07",15.68916,20.3870967741935,28.4774193548387,30.2518574650183,344.9,26
"212","2017-08",16.50672,20.8935483870968,31.0870967741935,33.7028742709244,343.1,22
"213","2017-09",18.95292,21.0166666666667,31.11,33.5590499224896,303.7,23
"214","2017-10",18.37224,21.2838709677419,30.9612903225806,33.5154147100046,532.7,25
"215","2017-11",17.34228,21.3433333333333,31.1266666666667,34.1975210954587,542.4,25
"216","2017-12",17.73,21.4645161290323,31.3322580645161,34.8453151378243,81,15
"217","2018-01",18.74664,21.1612903225806,31.3096774193548,34.4866017115775,120.5,17
"218","2018-02",17.0694,22.525,32.2392857142857,36.142718312392,7.5,5
"219","2018-03",15.75324,22.2741935483871,32.1935483870968,36.5617930576576,150.3,14
"220","2018-04",15.86376,21.12,29.3,31.7697918433755,461.8,22
"221","2018-05",15.91956,20.9741935483871,29.6548387096774,31.8934993741266,592.3,30
"222","2018-06",15.27336,20.2866666666667,27.91,29.8167638111894,609.2,29
"223","2018-07",15.68916,20.2741935483871,28.658064516129,30.3664672406635,522.9,30
"224","2018-08",16.50672,20.2967741935484,29.8129032258065,31.9873200537394,489.4,25
"225","2018-09",18.95292,20.56,30.8533333333333,32.9813290446425,312.4,23
"226","2018-10",18.37224,21.0612903225806,31.0967741935484,33.8434846048672,546.6,27
"227","2018-11",17.34228,21.44,30.6533333333333,34.1498516491212,242.8,24
"228","2018-12",17.73,20.9935483870968,31.2661290322581,34.6904409932595,52.7,10
"229","2019-01",18.74664,22.5354838709677,32.5709677419355,36.7452755793469,23.6,12
"230","2019-02",17.0694,22.9107142857143,33.9714285714286,39.3122785996592,11.9,5
"231","2019-03",15.75324,22.4967741935484,31.4661290322581,35.7462146454824,150.3,14
"232","2019-04",15.86376,21.92,30.6466666666667,34.2831621210795,538.5,23
"233","2019-05",15.91956,21.1129032258065,30.2741935483871,32.5034784820447,723.7,25
"234","2019-06",15.27336,20.57,28.9266666666667,30.6832783602206,456.1,29
"235","2019-07",15.68916,20.1064516129032,29.2709677419355,30.5703243377093,547.8,24
"236","2019-08",16.50672,20.3,29.2645161290323,31.1439547722623,420.3,23
"237","2019-09",18.95292,20.5433333333333,31.28,33.3634087072913,342.8,21
"238","2019-10",18.37224,20.9774193548387,30.441935483871,32.1538991346233,433.9,23
"239","2019-11",17.34228,21.5866666666667,30.82,32.875963346263,324.6,25
"240","2019-12",17.73,21.9,30.8774193548387,33.7872826279121,189.5,16
"241","2020-01",18.74664,22.4290322580645,31.8129032258065,36.1388061430798,28.7,8
"242","2020-02",17.0694,23.7034482758621,33.8413793103448,39.472066134973,12.2,9
"243","2020-03",15.75324,23.6064516129032,32.9806451612903,38.5585651282988,246.2,12
"244","2020-04",15.86376,21.9433333333333,30.6866666666667,34.0585107475917,567.3,23
"245","2020-05",15.91956,21.7129032258065,29.7193548387097,32.689272835321,527.3,27
"246","2020-06",15.27336,21.01,29.8966666666667,33.1101795734215,501.7,29
"247","2020-07",15.68916,20.9741935483871,29.7322580645161,32.4437127215229,573.1,26
"248","2020-08",16.50672,21.3516129032258,30.1838709677419,33.1588292154492,241.9,20
"249","2020-09",18.95292,20.9733333333333,31.3066666666667,34.3097919731105,313.4,22
"250","2020-10",18.37224,21.2838709677419,30.9096774193548,34.0603819307391,435,19
"251","2020-11",17.34228,21.65,30.06,32.926110877343,485,24
"252","2020-12",17.73,21.6129032258065,30.6677419354839,34.1543627278124,243.2,18
