"","Fecha","Municipio","precipitacion","dias_lluvia"
"381","2011-01","Villavicencio",90.3,7
"382","2011-02","Acacías",93,12
"383","2011-02","Cubarral",517,20
"384","2011-02","Villavicencio",144.5,10
"385","2011-03","Acacías",290,19
"386","2011-03","Cubarral",591,28
"387","2011-03","Villavicencio",175.2,22
"388","2011-04","Acacías",830,22
"389","2011-04","Cubarral",922,29
"390","2011-04","Villavicencio",469.1,25
"391","2011-05","Acacías",632,27
"392","2011-05","Cubarral",861,31
"393","2011-05","Villavicencio",632.7,30
"394","2011-06","Acacías",531,22
"395","2011-06","Cubarral",686,26
"396","2011-06","Villavicencio",529.4,26
"397","2011-07","Acacías",359,19
"398","2011-07","Cubarral",538,29
"399","2011-07","Villavicencio",367.4,27
"400","2011-08","Acacías",343,17
"401","2011-08","Cubarral",400,23
"402","2011-08","Villavicencio",361.6,24
"403","2011-09","Acacías",285,17
"404","2011-09","Cubarral",453,22
"405","2011-09","Villavicencio",592.7,22
"406","2011-10","Acacías",447,19
"407","2011-10","Cubarral",781,28
"408","2011-10","Villavicencio",337.9,22
"409","2011-11","Acacías",589,25
"410","2011-11","Cubarral",692,29
"411","2011-11","Villavicencio",576.6,28
"412","2011-12","Acacías",462,19
"413","2011-12","Cubarral",906,29
"414","2011-12","Villavicencio",357.2,21
"415","2012-01","Acacías",82,8
"416","2012-01","Cubarral",354,22
"417","2012-01","Villavicencio",36.6,12
"418","2012-02","Acacías",95,5
"419","2012-02","Cubarral",335,17
"420","2012-02","Villavicencio",106.9,9
"421","2012-03","Acacías",660,23
"422","2012-03","Cubarral",975,29
"423","2012-03","Villavicencio",536.8,26
"424","2012-04","Acacías",541.5,21
"425","2012-04","Cubarral",598,26
"426","2012-04","Villavicencio",546.3,26
"427","2012-05","Cubarral",801,27
"428","2012-05","Villavicencio",575.8,25
"429","2012-06","Cubarral",552,27
"430","2012-06","Villavicencio",423.9,24
"431","2012-07","Cubarral",548,28
"432","2012-07","Villavicencio",595.7,27
"433","2012-08","Acacías",234,9
"434","2012-08","Cubarral",723,30
"435","2012-08","Villavicencio",371.6,29
"436","2012-09","Acacías",288,14
"437","2012-09","Cubarral",334,24
"438","2012-09","Villavicencio",281.3,19
"439","2012-10","Acacías",559,18
"440","2012-10","Cubarral",498,20
"441","2012-10","Villavicencio",586.1,20
"442","2012-11","Acacías",560,18
"443","2012-11","Cubarral",573,20
"444","2012-11","Villavicencio",257.2,15
"445","2012-12","Acacías",205,11
"446","2012-12","Cubarral",525,21
"447","2012-12","Villavicencio",316.1,17
"448","2013-01","Acacías",0,0
"449","2013-01","Cubarral",44,10
"450","2013-01","Villavicencio",0.3,1
"451","2013-02","Acacías",90,5
"452","2013-02","Cubarral",359,22
"453","2013-02","Villavicencio",79.3,10
"454","2013-03","Acacías",298,15
"455","2013-03","Cubarral",638,27
"456","2013-03","Villavicencio",224.9,21
"457","2013-04","Acacías",534,17
"458","2013-04","Cubarral",681,25
"459","2013-04","Villavicencio",662.5,20
"460","2013-05","Acacías",769,23
"461","2013-05","Cubarral",1049,31
"462","2013-05","Villavicencio",741.6,27
"463","2013-06","Acacías",652,20
"464","2013-06","Cubarral",847,29
"465","2013-06","Villavicencio",418.8,27
"466","2013-07","Acacías",437,22
"467","2013-07","Cubarral",866,29
"468","2013-07","Villavicencio",583.7,27
"469","2013-08","Acacías",326,24
"470","2013-08","Cubarral",450,28
"471","2013-08","Villavicencio",264.5,27
"472","2013-09","Acacías",203,11
"473","2013-09","Cubarral",454,24
"474","2013-09","Villavicencio",222,19
"475","2013-10","Acacías",506,15
"476","2013-10","Cubarral",771,25
"477","2013-10","Villavicencio",332.6,19
"478","2013-11","Acacías",487,20
"479","2013-11","Cubarral",922,29
"480","2013-11","Villavicencio",516.1,25
"481","2013-12","Acacías",215,11
"482","2013-12","Cubarral",437,17
"483","2013-12","Villavicencio",173.4,11
"484","2014-01","Acacías",26,2
"485","2014-01","Cubarral",100,18
"486","2014-01","Villavicencio",26.5,6
"487","2014-02","Acacías",166,6
"488","2014-02","Cubarral",265,18
"489","2014-02","Villavicencio",127.4,9
"490","2014-03","Acacías",201,7
"491","2014-03","Cubarral",634,24
"492","2014-03","Villavicencio",263.6,14
"493","2014-04","Acacías",499,16
"494","2014-04","Cubarral",959,30
"495","2014-04","Villavicencio",672.9,28
"496","2014-05","Acacías",418,15
"497","2014-05","Cubarral",718,27
"498","2014-05","Villavicencio",420.3,20
"499","2014-06","Acacías",450,15
"500","2014-06","Cubarral",899,30
"501","2014-06","Villavicencio",670.9,27
"502","2014-07","Acacías",520,19
"503","2014-07","Cubarral",724,29
"504","2014-07","Villavicencio",371,28
"505","2014-08","Acacías",274,13
"506","2014-08","Cubarral",547,26
"507","2014-08","Villavicencio",265.2,22
"508","2014-09","Acacías",160,11
"509","2014-09","Cubarral",516,22
"510","2014-09","Villavicencio",309.6,22
"511","2014-10","Cubarral",405,24
"512","2014-10","Villavicencio",332.1,22
"513","2014-11","Cubarral",651,26
"514","2014-11","Villavicencio",497.4,21
"515","2014-12","Acacías",285,7
"516","2014-12","Cubarral",470,22
"517","2014-12","Villavicencio",210.5,13
"518","2015-01","Acacías",123,9
"519","2015-01","Cubarral",589,19
"520","2015-01","Villavicencio",196.6,15
"521","2015-02","Acacías",20,5
"522","2015-02","Cubarral",233,18
"523","2015-02","Villavicencio",19.2,11
"524","2015-03","Acacías",247,11
"525","2015-03","Cubarral",538,26
"526","2015-03","Villavicencio",225.4,19
"527","2015-04","Acacías",649,20
"528","2015-04","Cubarral",766,29
"529","2015-04","Villavicencio",399.3,26
"530","2015-05","Acacías",570,23
"531","2015-05","Cubarral",946,28
"532","2015-05","Villavicencio",385.9,27
"533","2015-06","Acacías",396,23
"534","2015-06","Cubarral",721,29
"535","2015-06","Villavicencio",491.9,29
"536","2015-07","Acacías",577,19
"537","2015-07","Cubarral",762,29
"538","2015-07","Villavicencio",457.8,27
"539","2015-08","Acacías",246,12
"540","2015-08","Cubarral",399,27
"541","2015-08","Villavicencio",277.8,26
"542","2015-09","Acacías",242,11
"543","2015-09","Cubarral",364,25
"544","2015-09","Villavicencio",330.5,20
"545","2015-10","Acacías",284,13
"546","2015-10","Cubarral",622,26
"547","2015-10","Villavicencio",399.4,22
"548","2015-11","Acacías",520,21
"549","2015-11","Cubarral",871.5,26
"550","2015-11","Villavicencio",416.6,27
"551","2015-12","Acacías",215,9
"552","2015-12","Cubarral",275,16
"553","2015-12","Villavicencio",180.3,13
"554","2016-01","Acacías",0,0
"555","2016-01","Cubarral",76,9
"556","2016-01","Villavicencio",2,4
"557","2016-02","Acacías",38,2
"558","2016-02","Cubarral",282,23
"559","2016-02","Villavicencio",63.7,16
"560","2016-03","Acacías",199,11
"561","2016-03","Cubarral",504,21
"562","2016-03","Villavicencio",231.6,17
"563","2016-04","Acacías",841,26
"564","2016-04","Cubarral",1096,28
"565","2016-04","Villavicencio",791.3,28
"566","2016-05","Acacías",631,20
"567","2016-05","Cubarral",839,30
"568","2016-05","Villavicencio",532.8,25
"569","2016-06","Acacías",341,21
"570","2016-06","Cubarral",650,29
"571","2016-06","Villavicencio",329.4,28
"572","2016-07","Acacías",380,20
"573","2016-07","Cubarral",672,28
"574","2016-07","Villavicencio",413.6,26
"575","2016-08","Acacías",841,21
"576","2016-08","Cubarral",724,28
"577","2016-08","Villavicencio",664.9,28
"578","2016-09","Acacías",390,12
"579","2016-09","Cubarral",611,23
"580","2016-09","Villavicencio",391.9,25
"581","2016-10","Acacías",588,19
"582","2016-10","Cubarral",523,26
"583","2016-10","Villavicencio",416,25
"584","2016-11","Acacías",551.2,15
"585","2016-11","Cubarral",563,25
"586","2016-11","Villavicencio",576.3,23
"587","2016-12","Acacías",467.5,11
"588","2016-12","Cubarral",518,23
"589","2016-12","Villavicencio",500.7,17
"590","2017-01","Acacías",114,10
"591","2017-01","Cubarral",364,25
"592","2017-01","Villavicencio",65.6,20
"593","2017-02","Acacías",77,5
"594","2017-02","Cubarral",421,16
"595","2017-02","Villavicencio",94.5,12
"596","2017-03","Acacías",313,18
"597","2017-03","Cubarral",619,28
"598","2017-03","Villavicencio",379.6,21
"599","2017-04","Acacías",319,16
"600","2017-04","Cubarral",580,25
"601","2017-04","Villavicencio",273.3,20
"602","2017-05","Acacías",662,23
"603","2017-05","Cubarral",813,27
"604","2017-05","Villavicencio",802.6,28
"605","2017-06","Acacías",517,21
"606","2017-06","Cubarral",728,27
"607","2017-06","Villavicencio",538,27
"608","2017-07","Acacías",246,18
"609","2017-07","Cubarral",389,27
"610","2017-07","Villavicencio",344.9,26
"611","2017-08","Acacías",222,12
"612","2017-08","Cubarral",375,27
"613","2017-08","Villavicencio",343.1,22
"614","2017-09","Acacías",252,15
"615","2017-09","Cubarral",560,22
"616","2017-09","Villavicencio",303.7,23
"617","2017-10","Acacías",469,16
"618","2017-10","Cubarral",634,25
"619","2017-10","Villavicencio",532.7,25
"620","2017-11","Acacías",383,18
"621","2017-11","Cubarral",1173,27
"622","2017-11","Villavicencio",542.4,25
"623","2017-12","Acacías",192,12
"624","2017-12","Cubarral",285,20
"625","2017-12","Villavicencio",81,15
"626","2018-01","Acacías",184,14
"627","2018-01","Cubarral",561,21
"628","2018-01","Villavicencio",120.5,17
"629","2018-02","Acacías",7,2
"630","2018-02","Cubarral",65,12
"631","2018-02","Villavicencio",7.5,5
"632","2018-03","Acacías",235,13
"633","2018-03","Cubarral",508,22
"634","2018-03","Villavicencio",150.3,14
"635","2018-04","Acacías",538,20
"636","2018-04","Cubarral",996,30
"637","2018-04","Villavicencio",461.8,22
"638","2018-05","Acacías",842,30
"639","2018-05","Cubarral",1337,31
"640","2018-05","Villavicencio",592.3,30
"641","2018-06","Acacías",713,26
"642","2018-06","Cubarral",794,28
"643","2018-06","Villavicencio",609.2,29
"644","2018-07","Acacías",390,28
"645","2018-07","Cubarral",790,31
"646","2018-07","Villavicencio",522.9,30
"647","2018-08","Acacías",646,24
"648","2018-08","Cubarral",519.4,27
"649","2018-08","Villavicencio",489.4,25
"650","2018-09","Acacías",421,20
"651","2018-09","Cubarral",476,23
"652","2018-09","Villavicencio",312.4,23
"653","2018-10","Acacías",567,19
"654","2018-10","Cubarral",806,25
"655","2018-10","Villavicencio",546.6,27
"656","2018-11","Acacías",269,15
"657","2018-11","Cubarral",571,23
"658","2018-11","Villavicencio",242.8,24
"659","2018-12","Acacías",51,10
"660","2018-12","Cubarral",320,18
"661","2018-12","Villavicencio",52.7,10
"662","2019-01","Acacías",44,6
"663","2019-01","Cubarral",250,22
"664","2019-01","Villavicencio",23.6,12
"665","2019-02","Acacías",62,5
"666","2019-02","Cubarral",124,11
"667","2019-02","Villavicencio",11.9,5
"668","2019-03","Acacías",334,15
"669","2019-03","Cubarral",466,23
"670","2019-03","Villavicencio",150.3,14
"671","2019-04","Acacías",849,20
"672","2019-04","Cubarral",669,24
"673","2019-04","Villavicencio",538.5,23
"674","2019-05","Acacías",709,24
"675","2019-05","Cubarral",991,28
"676","2019-05","Villavicencio",723.7,25
"677","2019-06","Acacías",493,24
"678","2019-06","Cubarral",841,30
"679","2019-06","Villavicencio",456.1,29
"680","2019-07","Acacías",570,26
"681","2019-07","Cubarral",649,28
"682","2019-07","Villavicencio",547.8,24
"683","2019-08","Acacías",367,19
"684","2019-08","Cubarral",390,25
"685","2019-08","Villavicencio",420.3,23
"686","2019-09","Acacías",395,16
"687","2019-09","Cubarral",509,20
"688","2019-09","Villavicencio",342.8,21
"689","2019-10","Acacías",237,18
"690","2019-10","Cubarral",586,26
"691","2019-10","Villavicencio",433.9,23
"692","2019-11","Acacías",446,23
"693","2019-11","Cubarral",946,26
"694","2019-11","Villavicencio",324.6,25
"695","2019-12","Acacías",370,18
"696","2019-12","Cubarral",518,25
"697","2019-12","Villavicencio",189.5,16
"698","2020-01","Acacías",26,5
"699","2020-01","Cubarral",158,14
"700","2020-01","Villavicencio",28.7,8
"701","2020-02","Acacías",17,5
"702","2020-02","Cubarral",90,12
"703","2020-02","Villavicencio",12.2,9
"704","2020-03","Acacías",211,10
"705","2020-03","Cubarral",349,19
"706","2020-03","Villavicencio",246.2,12
"707","2020-04","Acacías",490,17
"708","2020-04","Cubarral",742,26
"709","2020-04","Villavicencio",567.3,23
"710","2020-05","Acacías",655,24
"711","2020-05","Cubarral",746,30
"712","2020-05","Villavicencio",527.3,27
"713","2020-06","Acacías",583,26
"714","2020-06","Cubarral",921,29
"715","2020-06","Villavicencio",501.7,29
"716","2020-07","Acacías",634,22
"717","2020-07","Cubarral",803,28
"718","2020-07","Villavicencio",573.1,26
"719","2020-08","Acacías",363,18
"720","2020-08","Cubarral",417,26
"721","2020-08","Villavicencio",241.9,20
"722","2020-09","Acacías",314,16
"723","2020-09","Cubarral",341,21
"724","2020-09","Villavicencio",313.4,22
"725","2020-10","Acacías",350,19
"726","2020-10","Cubarral",591,21
"727","2020-10","Villavicencio",435,19
"728","2020-11","Acacías",454,17
"729","2020-11","Cubarral",684,28
"730","2020-11","Villavicencio",485,24
"731","2020-12","Acacías",321,17
"732","2020-12","Cubarral",917,28
"733","2020-12","Villavicencio",243.2,18
"734","2021-01","Acacías",99,10
"735","2021-01","Cubarral",374,16
"736","2021-01","Villavicencio",49.6,13
"737","2021-02","Acacías",15,6
"738","2021-02","Cubarral",299,24
"739","2021-02","Villavicencio",19.1,8
"740","2021-03","Acacías",239,15
"741","2021-03","Cubarral",520,27
"742","2021-03","Villavicencio",112.1,13
"743","2021-04","Acacías",914,23
"744","2021-04","Cubarral",1045,27
"745","2021-04","Villavicencio",532.6,20
"746","2021-05","Acacías",772,22
"747","2021-05","Cubarral",946,30
"748","2021-05","Villavicencio",483.2,17
"749","2021-06","Acacías",739,23
"750","2021-06","Cubarral",863,29
"751","2021-06","Villavicencio",650.7,25
"752","2021-07","Acacías",657,22
"753","2021-07","Cubarral",525,31
"754","2021-07","Villavicencio",487.5,23
"755","2021-08","Acacías",500,20
"756","2021-08","Cubarral",692,23
"757","2021-08","Villavicencio",476.7,23
"758","2021-09","Acacías",353,16
"759","2021-09","Cubarral",461,19
"760","2021-09","Villavicencio",183.2,17
